"id";"clientID";"lookupTypeID";"lookupSubTypeID";"lookupOrder";"lookupValueNum";"lookupValueChar";"lookupDescription";"disabled";"createdDate";"createdBy";"updatedDate";"updatedBy";"deletedDate";"deletedBy"
86;0;13;5;0;5;"Testing";"Time type - testing";"";"2012-09-22 23:20:26";1;"";0;"";0
87;0;13;6;0;6;"Going through with customer";"Time type - with customer";"";"2012-09-22 23:20:26";1;"";0;"";0
88;0;13;7;0;7;"Finalizing";"Time type - finalizing";"";"2012-09-22 23:20:26";1;"";0;"";0
89;0;13;8;0;8;"Other";"Time type - other";"";"2012-09-22 23:20:26";1;"";0;"";0
90;0;13;9;0;9;"Negotiating";"Time type - negotiating";"";"2012-09-22 23:20:26";1;"";0;"";0
91;0;13;10;0;10;"Drafting contract";"Time type - drafting contract";"";"2012-09-22 23:20:26";1;"";0;"";0
92;0;13;11;0;11;"Conflict resolution";"Time type - conflict resolution";"";"2012-09-22 23:20:26";1;"";0;"";0
93;0;14;0;0;1;"Time";"Reports - Time";"";"2012-09-22 23:20:26";1;"";0;"";0
94;0;15;1;0;1;"Time";"Reports - Time";"";"2012-09-22 23:20:26";1;"";0;"";0
95;0;15;2;0;2;"Projects";"Reports - Projects";"";"2012-09-22 23:20:26";1;"";0;"";0
96;0;15;3;0;3;"Problems";"Reports - Problems";"";"2012-09-22 23:20:26";1;"";0;"";0
97;0;15;4;0;4;"Activity";"Reports - Activity";"";"2012-09-22 23:20:26";1;"";0;"";0
98;0;18;1;0;5;"New";"New Invoice";"";"2012-09-22 23:20:26";1;"";0;"";0
99;0;18;2;0;5;"Refused";"Invoice Refused";"";"2012-09-22 23:20:26";1;"";0;"";0
100;0;18;5;0;5;"Paid";"Invoice Paid";"";"2012-09-22 23:20:26";1;"";0;"";0
101;0;19;1;0;1;"Extreme";"Importance - Extreme";"";"2012-09-22 23:20:26";0;"";0;"";0
102;0;19;2;0;2;"Very";"Importance - Very";"";"2012-09-22 23:20:26";0;"";0;"";0
103;0;19;3;0;3;"Medium";"Importance - Medium";"";"2012-09-22 23:20:26";0;"";0;"";0
104;0;19;4;0;4;"Minor";"Importance - Minor";"";"2012-09-22 23:20:26";0;"";0;"";0
105;0;19;5;0;5;"Insignificant";"Importance - Insignificant";"";"2012-09-22 23:20:26";0;"";0;"";0
106;0;20;1;1;1;"Very happy";"Opinion - Very happy";"";"2012-09-22 23:20:26";0;"";0;"";0
107;0;20;2;2;2;"Happy";"Opinion - Happy";"";"2012-09-22 23:20:26";0;"";0;"";0
108;0;20;3;3;3;"Satisfied";"Opinion - Satisfied";"";"2012-09-22 23:20:26";0;"";0;"";0
109;0;20;4;4;4;"Worried";"Opinion - Worried";"";"2012-09-22 23:20:26";0;"";0;"";0
110;0;20;5;5;5;"Very worried";"Opinion - Very worried";"";"2012-09-22 23:20:26";0;"";0;"";0
111;0;21;1;1;1;"New";"Task - New";"";"2012-09-22 23:20:26";0;"";0;"";0
112;0;21;2;2;2;" Excellent progress";"Task - Excellent progress";"";"2012-09-22 23:20:26";0;"";0;"";0
113;0;21;3;4;3;"Acceptable progress";"Task - Acceptable progress";"";"2012-09-22 23:20:26";0;"";0;"";0
114;0;21;4;5;4;"Poor progress";"Task - Poor progress";"";"2012-09-22 23:20:26";0;"";0;"";0
115;0;21;5;6;5;"Very Poor progress";"Task - Very poor progress";"";"2012-09-22 23:20:26";0;"";0;"";0
116;0;21;6;3;6;"Good progress";"Task - Good progress";"";"2012-09-22 23:20:26";0;"";0;"";0
117;0;21;7;7;7;"Complete";"Task - Complete";"";"2012-09-22 23:20:26";0;"";0;"";0
118;0;21;8;8;8;"Cancelled";"Task - Cancelled";"";"2012-09-22 23:20:26";0;"";0;"";0
119;0;21;9;9;9;"Abandoned";"Task - Abandoned";"";"2012-09-22 23:20:26";0;"";0;"";0
120;0;21;10;10;19;"On Hold";"Task - On Hold";"";"2012-09-22 23:20:26";0;"";0;"";0
121;0;22;1;1;1;"Inbound phone call";"Interaction inbound telephone call";"";"2017-08-10 22:00:00";0;"";0;"";0
